Tumor type,Genomic region,Epigenetic type,Correlation coefficient,P value
esophagus,coding,H3K4me3,0.481571968913156,2.85660462639074e-159
esophagus,coding,H3K9me3,0.454251426124384,8.32882421275569e-140
esophagus,noncoding,H3K27ac,-0.592217501624669,9.44097476864881e-257
esophagus,noncoding,H3K27me3,-0.171561537067174,0.000000000000000000228382452866678
esophagus,noncoding,H3K36me3,-0.610185760141178,8.39401127354479e-277
esophagus,noncoding,H3K4me1,-0.587036900717942,2.53676609769757e-251
esophagus,noncoding,H3K4me3,-0.519603015832993,1.19339873919972e-187
esophagus,noncoding,H3K9me3,-0.0735951586988529,0.000123601097996139
esophagus,promoter,H3K27ac,0.347277568633537,1.75628608635783e-69
esophagus,promoter,H3K27me3,0.112139993061604,0.000000032229346183699
esophagus,promoter,H3K36me3,0.401405894553719,2.47066259311726e-94
esophagus,promoter,H3K4me1,0.326352162682781,3.88580239840809e-61
esophagus,promoter,H3K4me3,0.511820022029932,1.18955093939306e-161
esophagus,promoter,H3K9me3,0.317452297627456,9.04394658638604e-58
esophagus,Noncoding-promoter,H3K27ac,-0.597326176084072,2.70017267120869e-262
esophagus,Noncoding-promoter,H3K27me3,-0.174418469732739,0.0000000000000000000564707663004041
esophagus,Noncoding-promoter,H3K36me3,-0.616287088384315,7.10171614044182e-284
esophagus,Noncoding-promoter,H3K4me1,-0.592014231525272,1.25822019533168e-256
esophagus,Noncoding-promoter,H3K4me3,-0.5275006260123,2.28339865712662e-194
esophagus,Noncoding-promoter,H3K9me3,-0.0795582237026944,0.0000331214953876833
kidney,coding,DNase,0.627950982837074,3.52714792098745e-286
kidney,coding,H3K27me3,0.0596929133080739,0.00224220403884027
kidney,coding,H3K36me3,0.492125507056646,7.02521500265346e-160
kidney,coding,H3K4me1,0.16183684393408,0.0000000000000000900014872984401
kidney,coding,H3K4me3,0.618061783242547,5.01881143976534e-276
kidney,coding,H3K9ac,0.500981589422037,1.37944217576494e-166
kidney,coding,H3K9me3,-0.181856489572845,0.00000000000000000000602536350577498
kidney,noncoding,DNase,-0.424862876930312,2.45312041461588e-125
kidney,noncoding,H3K27me3,-0.209694377483138,0.00000000000000000000000000000763282365064306
kidney,noncoding,H3K36me3,-0.507417732230538,1.57878419997621e-187
kidney,noncoding,H3K4me1,-0.396160316503749,8.35477487243653e-108
kidney,noncoding,H3K4me3,-0.452979712683271,1.96694676111513e-145
kidney,noncoding,H3K9ac,-0.441711486829368,2.02803809623374e-137
kidney,noncoding,H3K9me3,0.177912272723855,0.000000000000000000000699289999196353
kidney,promoter,DNase,0.644876833316882,5.35525000959924e-263
kidney,promoter,H3K27me3,0.0209411502884785,0.321521808510798
kidney,promoter,H3K36me3,0.43013554875133,1.19931524979105e-101
kidney,promoter,H3K4me1,0.1170206765183,0.0000000280504388336091
kidney,promoter,H3K4me3,0.588933401457675,1.52679098880562e-209
kidney,promoter,H3K9ac,0.465910965429046,2.96714275317776e-121
kidney,promoter,H3K9me3,-0.256296266792457,5.45365362402462e-35
kidney,Noncoding-promoter,DNase,-0.460100181872843,2.26129186504252e-149
kidney,Noncoding-promoter,H3K27me3,-0.209286720677491,0.00000000000000000000000000000987678416785447
kidney,Noncoding-promoter,H3K36me3,-0.53207867313754,2.05283655641336e-209
kidney,Noncoding-promoter,H3K4me1,-0.403639695304162,3.2131687256995e-112
kidney,Noncoding-promoter,H3K4me3,-0.484862083939938,2.23942496954322e-169
kidney,Noncoding-promoter,H3K9ac,-0.46721935975216,1.18537078597612e-155
kidney,Noncoding-promoter,H3K9me3,0.189463443147306,0.00000000000000000000000119380693682759
liver,coding,H3K27ac,0.509267561462213,1.25527660323985e-186
liver,coding,H3K27me3,-0.0537540914994259,0.00402700221613147
liver,coding,H3K36me3,0.580100029768002,1.18366481188473e-256
liver,coding,H3K4me1,0.491190374347587,4.66410880491798e-173
liver,coding,H3K4me3,0.550670918598099,3.1124815476351e-227
liver,coding,H3K9ac,0.436573747501794,1.17759630010921e-133
liver,coding,H3K9me3,-0.228623573182435,2.20130159903627e-35
liver,noncoding,H3K27ac,-0.588552591984077,1.424910811435e-264
liver,noncoding,H3K27me3,0.431818937533935,5.56378072105576e-131
liver,noncoding,H3K36me3,-0.610984218082806,1.46431491287527e-293
liver,noncoding,H3K4me1,-0.649013141573433,0
liver,noncoding,H3K4me3,-0.337453652697486,9.0500776413149e-78
liver,noncoding,H3K9ac,-0.479485013905094,1.48188633533199e-165
liver,noncoding,H3K9me3,0.675038590898741,0
liver,promoter,H3K27ac,0.518670331574565,2.35719689820697e-175
liver,promoter,H3K27me3,-0.0753536868147548,0.000135936789534773
liver,promoter,H3K36me3,0.529104329971066,1.29162418649624e-184
liver,promoter,H3K4me1,0.491872670885253,1.02041156538936e-155
liver,promoter,H3K4me3,0.518958956822506,8.27570126638477e-177
liver,promoter,H3K9ac,0.426320560993178,1.15321121060175e-113
liver,promoter,H3K9me3,-0.209841927042136,0.00000000000000000000000000615905219073302
liver,Noncoding-promoter,H3K27ac,-0.601029030810304,9.54093919440562e-279
liver,Noncoding-promoter,H3K27me3,0.427264007429337,5.55355138831111e-128
liver,Noncoding-promoter,H3K36me3,-0.624396093994916,2.8700345789339e-310
liver,Noncoding-promoter,H3K4me1,-0.660024554575311,0
liver,Noncoding-promoter,H3K4me3,-0.352808594357364,2.53681647804373e-85
liver,Noncoding-promoter,H3K9ac,-0.491045578207871,9.66339045377287e-175
liver,Noncoding-promoter,H3K9me3,0.675753174476665,0
lung,coding,H3K27ac,0.22777116766064,0.000000000000000000000000000000000129555277580156
lung,coding,H3K27me3,-0.042399652830211,0.0242723980470248
lung,coding,H3K36me3,0.256790035400171,6.97994317697105e-44
lung,coding,H3K4me1,0.198155674619235,0.0000000000000000000000000189041628289313
lung,coding,H3K4me3,0.211513116028688,0.00000000000000000000000000000590198615896247
lung,coding,H3K9me3,0.224573631750477,0.00000000000000000000000000000000104796577377616
lung,noncoding,H3K27ac,-0.544372426479835,1.24638778995207e-221
lung,noncoding,H3K27me3,-0.182989771649562,0.000000000000000000000048743612744003
lung,noncoding,H3K36me3,-0.56495759129545,1.43280695731101e-242
lung,noncoding,H3K4me1,-0.555713673962716,5.77432819748323e-233
lung,noncoding,H3K4me3,-0.562900986515887,4.98250531994757e-240
lung,noncoding,H3K9me3,-0.242986873146391,5.30867017485809e-40
lung,promoter,H3K27ac,0.454325695963846,1.71494864645679e-128
lung,promoter,H3K27me3,-0.0453073494864175,0.0230749974799534
lung,promoter,H3K36me3,0.47332269376966,7.80672759970805e-141
lung,promoter,H3K4me1,0.386580295171765,1.39362732807909e-90
lung,promoter,H3K4me3,0.467811203834514,5.01289164015133e-137
lung,promoter,H3K9me3,0.315330120015217,2.73328824492155e-59
lung,Noncoding-promoter,H3K27ac,-0.556342805696794,1.94778341125458e-233
lung,Noncoding-promoter,H3K27me3,-0.182638489403287,0.0000000000000000000000590906936099944
lung,Noncoding-promoter,H3K36me3,-0.577810295181214,3.28548728417022e-256
lung,Noncoding-promoter,H3K4me1,-0.566239160458704,9.79705609223074e-244
lung,Noncoding-promoter,H3K4me3,-0.575248975034777,5.24595243440907e-253
lung,Noncoding-promoter,H3K9me3,-0.252651878495622,3.28331365023682e-43
ovary,coding,DNase,0.655653814615572,0
ovary,coding,H3K27ac,0.477271160787668,9.38081243650737e-157
ovary,coding,H3K27me3,-0.0935609110154081,0.000000868104018210302
ovary,coding,H3K36me3,0.497452859967989,2.92719195715228e-172
ovary,coding,H3K4me1,0.254084656659345,7.31580467856866e-42
ovary,coding,H3K4me3,0.477236927052578,8.73707749393617e-157
ovary,coding,H3K9me3,-0.00224061855296562,0.906405266404834
ovary,noncoding,DNase,-0.469604944011452,1.05099805672011e-155
ovary,noncoding,H3K27ac,-0.453749913171998,9.89737249518846e-146
ovary,noncoding,H3K27me3,0.202020559118485,0.000000000000000000000000000873692502845642
ovary,noncoding,H3K36me3,-0.52310967202866,1.87617975153813e-201
ovary,noncoding,H3K4me1,-0.449185502735924,1.49131098797741e-142
ovary,noncoding,H3K4me3,-0.351181098888535,4.82508963923494e-84
ovary,noncoding,H3K9me3,0.241635902914009,2.02717380218935e-39
ovary,promoter,DNase,0.662628880727469,4.86435403196595e-306
ovary,promoter,H3K27ac,0.448479871017095,2.02586219149662e-120
ovary,promoter,H3K27me3,-0.107206334226766,0.00000012037416341191
ovary,promoter,H3K36me3,0.44785203921812,4.25918459589701e-120
ovary,promoter,H3K4me1,0.19127952809379,0.00000000000000000000193771059048891
ovary,promoter,H3K4me3,0.459573675322787,3.64723039631705e-127
ovary,promoter,H3K9me3,-0.0677372098829395,0.000838233507849002
ovary,Noncoding-promoter,DNase,-0.505324903046084,6.80688462078363e-184
ovary,Noncoding-promoter,H3K27ac,-0.479379441153943,8.59771963750226e-165
ovary,Noncoding-promoter,H3K27me3,0.201153484060344,0.00000000000000000000000000147874278798312
ovary,Noncoding-promoter,H3K36me3,-0.549131531004909,7.06640765370117e-226
ovary,Noncoding-promoter,H3K4me1,-0.461600680826256,1.89039856459293e-151
ovary,Noncoding-promoter,H3K4me3,-0.378827227495123,1.41648199369159e-98
ovary,Noncoding-promoter,H3K9me3,0.236222507815565,1.06117494578175e-37
pancreas,coding,DNase,0.592857005617023,1.39802944031014e-269
pancreas,coding,H3K27ac,0.525305058912652,9.91013268368149e-203
pancreas,coding,H3K27me3,0.041455030607555,0.0265995961823534
pancreas,coding,H3K36me3,0.609306485172406,2.03546306458398e-290
pancreas,coding,H3K4me1,0.524521612752078,5.02972966017499e-202
pancreas,coding,H3K4me3,0.715330770417083,0
pancreas,coding,H3K9me3,0.40596840571486,5.21389448150225e-114
pancreas,noncoding,DNase,-0.478369488918141,6.75584064730367e-164
pancreas,noncoding,H3K27ac,-0.491391914293927,1.92240193231175e-175
pancreas,noncoding,H3K27me3,0.176762228208726,0.00000000000000000000106324987016328
pancreas,noncoding,H3K36me3,-0.479639094900803,5.84074987233681e-166
pancreas,noncoding,H3K4me1,-0.477144547359536,3.93266584796865e-164
pancreas,noncoding,H3K4me3,-0.405091865754758,1.56158927768661e-114
pancreas,noncoding,H3K9me3,0.117506457268769,0.000000000233792002900525
pancreas,promoter,DNase,0.655888253551022,6.21625429026069e-313
pancreas,promoter,H3K27ac,0.551393500328438,3.30752616175304e-203
pancreas,promoter,H3K27me3,-0.0319179801240189,0.106817558044622
pancreas,promoter,H3K36me3,0.604929520082223,8.61061100743322e-255
pancreas,promoter,H3K4me1,0.531738219207115,2.04837900427158e-186
pancreas,promoter,H3K4me3,0.742179358313969,0
pancreas,promoter,H3K9me3,0.322360067508402,7.27300535533406e-63
pancreas,Noncoding-promoter,DNase,-0.500593621891265,1.01336100279326e-181
pancreas,Noncoding-promoter,H3K27ac,-0.510903313969838,7.90846745369954e-192
pancreas,Noncoding-promoter,H3K27me3,0.172284790708462,0.0000000000000000000111614420598277
pancreas,Noncoding-promoter,H3K36me3,-0.501833646914675,5.93540230326766e-184
pancreas,Noncoding-promoter,H3K4me1,-0.496299849393227,1.82704806315122e-179
pancreas,Noncoding-promoter,H3K4me3,-0.432504983920811,5.05870375217059e-132
pancreas,Noncoding-promoter,H3K9me3,0.100095011941137,0.0000000692401665478534
mela,coding,DNase,0.293238634394497,8.40045667490984e-58
mela,coding,H3K27ac,0.417715930299832,3.54758977458828e-122
mela,coding,H3K27me3,0.316476758406916,4.43878515891253e-68
mela,coding,H3K36me3,0.404651838713428,8.47355276529443e-114
mela,coding,H3K4me1,0.286759745892604,1.27384443832134e-55
mela,coding,H3K4me3,0.515952303274241,7.67897373817281e-196
mela,coding,H3K9me3,0.209805050580314,0.00000000000000000000000000000462502603336121
mela,noncoding,DNase,-0.596996043841647,5.17938522254742e-276
mela,noncoding,H3K27ac,-0.564588166321787,4.18519341742427e-243
mela,noncoding,H3K27me3,0.112518761523734,0.00000000132391608510732
mela,noncoding,H3K36me3,-0.603248873920012,1.82951469498152e-285
mela,noncoding,H3K4me1,-0.652732502910234,0
mela,noncoding,H3K4me3,-0.488187524010491,7.49330566432159e-173
mela,noncoding,H3K9me3,0.383973574621259,3.06906177557828e-102
mela,promoter,DNase,0.355662613927055,3.33900355555164e-77
mela,promoter,H3K27ac,0.486297088978932,1.11563569575758e-152
mela,promoter,H3K27me3,0.276622848047767,2.39523500411886e-46
mela,promoter,H3K36me3,0.441004100543779,1.53464056660205e-122
mela,promoter,H3K4me1,0.34932310878396,1.37846131513377e-74
mela,promoter,H3K4me3,0.593735435808578,1.67981905123488e-244
mela,promoter,H3K9me3,0.107650315506641,0.0000000451220574524189
mela,Noncoding-promoter,DNase,-0.605666555046743,3.65895554460519e-286
mela,Noncoding-promoter,H3K27ac,-0.577537903883543,6.94829302671519e-257
mela,Noncoding-promoter,H3K27me3,0.101389544410841,0.0000000472530487991059
mela,Noncoding-promoter,H3K36me3,-0.61474894493019,2.08591923588702e-299
mela,Noncoding-promoter,H3K4me1,-0.661242455902308,0
mela,Noncoding-promoter,H3K4me3,-0.504159064518771,4.81616798705295e-186
mela,Noncoding-promoter,H3K9me3,0.378963244315966,1.9957586595348e-99
