Tumor type,Genomic region,Epigenetic type,Correlation coefficient,P value
esophagus,noncoding,H3K4me1,-0.587036900717942,2.53676609769757e-251
esophagus,noncoding,H3K4me3,-0.519603015832993,1.19339873919972e-187
esophagus,noncoding,H3K9me3,-0.0735951586988529,0.000123601097996139
esophagus,total,H3K27ac,-0.564077338497588,1.14194589892855e-231
esophagus,total,H3K27me3,-0.127209221629421,0.0000000000201640751208777
esophagus,total,H3K36me3,-0.576535752720068,2.22082353323331e-244
esophagus,total,H3K4me1,-0.552661069557768,1.20861424267744e-220
esophagus,total,H3K4me3,-0.48559017125448,2.74812822082003e-163
esophagus,total,H3K9me3,-0.0400448017303344,0.0353737399389066
kidney,noncoding,DNase,-0.424862876930312,2.45312041461588e-125
kidney,noncoding,H3K27me3,-0.209694377483138,0.00000000000000000000000000000763282365064306
kidney,noncoding,H3K36me3,-0.507417732230538,1.57878419997621e-187
kidney,noncoding,H3K4me1,-0.396160316503749,8.35477487243653e-108
kidney,noncoding,H3K4me3,-0.452979712683271,1.96694676111513e-145
kidney,noncoding,H3K9ac,-0.441711486829368,2.02803809623374e-137
kidney,noncoding,H3K9me3,0.177912272723855,0.000000000000000000000699289999196353
kidney,total,DNase,-0.378374511554314,1.0142525578347e-97
kidney,total,H3K27me3,-0.207457187838491,0.0000000000000000000000000000311936120371768
kidney,total,H3K36me3,-0.472389477773464,2.23947398950934e-159
kidney,total,H3K4me1,-0.387156396452561,1.22386028493603e-102
kidney,total,H3K4me3,-0.40735139757343,2.54106922592994e-115
kidney,total,H3K9ac,-0.405305696711054,5.83626956669662e-114
kidney,total,H3K9me3,0.1666447480611,0.000000000000000000234157582088776
liver,noncoding,H3K27ac,-0.588552591984077,1.424910811435e-264
liver,noncoding,H3K27me3,0.431818937533935,5.56378072105576e-131
liver,noncoding,H3K36me3,-0.610984218082806,1.46431491287527e-293
liver,noncoding,H3K4me1,-0.649013141573433,0
liver,noncoding,H3K4me3,-0.337453652697486,9.0500776413149e-78
liver,noncoding,H3K9ac,-0.479485013905094,1.48188633533199e-165
liver,noncoding,H3K9me3,0.675038590898741,0
liver,total,H3K27ac,-0.572427303560797,3.81572822081678e-247
liver,total,H3K27me3,0.436480730467109,4.24402685757435e-134
liver,total,H3K36me3,-0.591778181923849,5.47070276764397e-271
liver,total,H3K4me1,-0.635046198883934,2.96439387504748e-323
liver,total,H3K4me3,-0.315249558590032,1.38701754211858e-67
liver,total,H3K9ac,-0.465020751096028,1.50452972499434e-154
liver,total,H3K9me3,0.674325303829821,0
lung,noncoding,H3K27ac,-0.544372426479835,1.24638778995207e-221
lung,noncoding,H3K27me3,-0.182989771649562,0.000000000000000000000048743612744003
lung,noncoding,H3K36me3,-0.56495759129545,1.43280695731101e-242
lung,noncoding,H3K4me1,-0.555713673962716,5.77432819748323e-233
lung,noncoding,H3K4me3,-0.562900986515887,4.98250531994757e-240
lung,noncoding,H3K9me3,-0.242986873146391,5.30867017485809e-40
lung,total,H3K27ac,-0.527072006638472,2.17253837027702e-205
lung,total,H3K27me3,-0.182945722979527,0.0000000000000000000000499355761457143
lung,total,H3K36me3,-0.545961839609039,1.76916838618221e-223
lung,total,H3K4me1,-0.539700915960781,2.66173524131661e-217
lung,total,H3K4me3,-0.546120680244127,3.00675110464198e-223
lung,total,H3K9me3,-0.228885011514027,1.43770236922494e-35
ovary,noncoding,DNase,-0.469604944011452,1.05099805672011e-155
ovary,noncoding,H3K27ac,-0.453749913171998,9.89737249518846e-146
ovary,noncoding,H3K27me3,0.202020559118485,0.000000000000000000000000000873692502845642
ovary,noncoding,H3K36me3,-0.52310967202866,1.87617975153813e-201
ovary,noncoding,H3K4me1,-0.449185502735924,1.49131098797741e-142
ovary,noncoding,H3K4me3,-0.351181098888535,4.82508963923494e-84
ovary,noncoding,H3K9me3,0.241635902914009,2.02717380218935e-39
ovary,total,DNase,-0.418864881746304,5.10672919482878e-121
ovary,total,H3K27ac,-0.417983441927363,1.01562787025658e-121
ovary,total,H3K27me3,0.198992276272586,0.00000000000000000000000000543193508557624
ovary,total,H3K36me3,-0.486442810551674,1.86969667533387e-170
ovary,total,H3K4me1,-0.432114952085334,6.58563706010104e-131
ovary,total,H3K4me3,-0.313471972068773,1.91194651170607e-66
ovary,total,H3K9me3,0.248129303194648,1.54103172940296e-41
pancreas,noncoding,DNase,-0.478369488918141,6.75584064730367e-164
pancreas,noncoding,H3K27ac,-0.491391914293927,1.92240193231175e-175
pancreas,noncoding,H3K27me3,0.176762228208726,0.00000000000000000000106324987016328
pancreas,noncoding,H3K36me3,-0.479639094900803,5.84074987233681e-166
pancreas,noncoding,H3K4me1,-0.477144547359536,3.93266584796865e-164
pancreas,noncoding,H3K4me3,-0.405091865754758,1.56158927768661e-114
pancreas,noncoding,H3K9me3,0.117506457268769,0.000000000233792002900525
pancreas,total,DNase,-0.444014499966492,8.22230558299984e-139
pancreas,total,H3K27ac,-0.461516822294402,2.51374736809373e-152
pancreas,total,H3K27me3,0.182827194187199,0.0000000000000000000000397989374602217
pancreas,total,H3K36me3,-0.444059243475738,9.47448799103882e-140
pancreas,total,H3K4me1,-0.447173940300351,5.09697256661864e-142
pancreas,total,H3K4me3,-0.361419953720174,7.22161376450277e-90
pancreas,total,H3K9me3,0.147006369722509,0.00000000000000195736100522019
mela,noncoding,DNase,-0.596996043841647,5.17938522254742e-276
mela,noncoding,H3K27ac,-0.564588166321787,4.18519341742427e-243
mela,noncoding,H3K27me3,0.112518761523734,0.00000000132391608510732
mela,noncoding,H3K36me3,-0.603248873920012,1.82951469498152e-285
mela,noncoding,H3K4me1,-0.652732502910234,0
mela,noncoding,H3K4me3,-0.488187524010491,7.49330566432159e-173
mela,noncoding,H3K9me3,0.383973574621259,3.06906177557828e-102
mela,total,DNase,-0.584290340150004,1.09746730275263e-261
mela,total,H3K27ac,-0.546101201330586,1.84246138439621e-224
mela,total,H3K27me3,0.127662081349293,0.00000000000569856764975576
mela,total,H3K36me3,-0.585534718833461,4.54896927494973e-265
mela,total,H3K4me1,-0.64063742449947,0
mela,total,H3K4me3,-0.465021918891117,6.39201546822187e-155
mela,total,H3K9me3,0.394585274582314,2.31308677950931e-108
